"","Compound.Name","anthrovol","bbvol","cluster_vol.z1","cluster_vol.z3","cluster_vol.z4","cluster_vol.z5","cluster_vol.z6","cluster_vol.z7","cluster_vol.z8","cluster_vol.z9","cluster_vol.z10","cluster_vol.z11","cluster_vol.z12","cluster_vol.z13","AMS_PMF_1","AMS_PMF_2","AMS_PMF_3","AMS_PMF_4","AMS_PMF_5","AMS_PMF_6","cluster","max_corr"
"1","1128_1901_blob_1004",-0.155091311918737,-0.182752457543592,-0.0836812530908666,-0.194858623195243,-0.205914516284707,0.578425383535834,-0.0761463832001293,-0.147609441536222,-0.0807934325800245,-0.254451607952038,-0.187219900054395,-0.138797545498483,-0.098329704641439,-0.128919963083251,-0.0860390130772971,-0.232474821187889,0.0724229676354478,-0.0643973141954318,-0.0703296244937116,-0.130868919963616,1,"cluster_vol.z5"
"2","1128_1901_blob_1006",0.699214096436762,0.308562583485812,0.558886684895485,0.331943132452433,0.196471040042138,0.0577606367007442,0.0388536206185902,0.175005471069378,0.380726342946647,-0.105561390076429,0.32104917254347,0.654075318014222,0.633597345647368,0.596922116290871,0.446877341315103,0.750295002692753,0.050006117551593,-0.0576678785296004,0.0864405227363118,0.17091783594868,NA,"cluster_vol.z11"
"3","1128_1901_blob_1019",0.32581489024709,0.117286798903857,0.277084231343874,0.301398809268282,0.135420595820378,0.0198245839984085,0.0398970947342207,0.390460465480868,0.288039420438641,0.0691972972987382,0.137374114393707,0.318458601656894,0.433755908281579,0.266976487224457,0.256254785992988,0.311998063502046,0.159455588282941,-0.152497768310172,-0.0241094999384638,-0.155502912570636,NA,"cluster_vol.z12"
"4","1128_1901_blob_1027",-0.103701680217777,-0.191614201867361,-0.104561984942155,-0.184098604175858,0.252618474292778,-0.0493658807008996,-0.11169694174916,0.496029124852764,-0.150397443008303,0.0540753733562979,-0.196836570377325,-0.134439877308235,-0.162934457871137,-0.17904154452787,-0.187820049416477,-0.181192490554228,-0.138223118178073,-0.12576623867855,-0.182238434428797,-0.026770013526906,NA,"cluster_vol.z7"
"5","1128_1901_blob_1028",-0.130314646625829,0.496515255102826,-0.0542015031169792,0.339544948874767,-0.353087555810148,0.00201420231760787,0.641166487078534,-0.380369741730229,0.125340850714938,0.0971966362845454,0.495250223910527,0.00945047705296682,-0.0466161566848048,0.105383935481125,0.137496879330277,0.0906597269817697,0.196066587856723,0.462059534132961,0.437488152460774,0.00663768513985212,NA,"cluster_vol.z6"
"6","1128_1901_blob_1030",0.172804208131624,0.043195724324068,0.0863251470098891,0.478445051423901,-0.169223326607347,-0.00346619659260057,0.362733744131193,-0.20763728652805,0.0656444010478804,-0.0979562072128315,0.0664311111030265,0.243907845658908,0.133074705916443,0.333654865527836,0.280755044229052,0.291786759395937,0.261940109107292,-0.0536624567282388,0.259108750543298,-0.0723183218355976,NA,"cluster_vol.z3"
"7","1128_1901_blob_1034",0.645254658691352,0.296284222067815,0.484439733608057,0.694904766105173,-0.260405345277218,0.227582860638576,0.379271592938212,0.0198017325478374,0.417646136541167,-0.133665109328954,0.34602950681549,0.713008924988978,0.642816753094264,0.762417527226854,0.621818084761341,0.528099517385806,0.476868957294702,-0.0496094426345042,0.406496046110467,-0.12593189156125,NA,"cluster_vol.z13"
"8","1128_1901_blob_1043",0.431906358183211,0.485289181733738,0.510277944580668,0.756375335264155,-0.471544271790401,0.30473594595283,0.592873410649066,-0.22335618681681,0.505203718724698,-0.105365075231762,0.529045314937429,0.591188817033203,0.47861379728633,0.714207810497111,0.579664624221173,0.392507545428619,0.484134725213221,0.183976649443963,0.547197177440138,-0.0201278379739931,NA,"cluster_vol.z3"
"9","1128_1901_blob_1045",-0.0699355073728096,-0.221378502524685,0.0629384825398824,-0.0163154298036624,0.222127589783575,-0.0483639734560454,-0.101588296502551,0.363792232993929,-0.0498519738046114,0.00733304687850434,-0.224369434255927,-0.0985878156173452,-0.0817875289225448,-0.0181747143494287,-0.191652442630008,-0.0688139339115752,-0.0960756535218373,-0.27912183413866,-0.266759859261786,-0.171502303720053,NA,"cluster_vol.z7"
"10","1128_1901_blob_1050",0.031228473018595,-0.133764552365445,0.221985118014593,-0.118346896888848,-0.28167598566139,-0.109845479189375,-0.0352435237662944,-0.216081636073077,-0.190660629821872,-0.122562383666668,-0.115066121732985,-0.0543598773539393,0.0824207998901335,-0.0523643463342748,-0.029132593653293,-0.0194166278502329,-0.0175203482921687,-0.104350861687789,-0.15255948778562,-0.208170864101813,NA,"cluster_vol.z1"
